Genome	Cov	tool
cx_BaUn	0.0042275310959834864	bowtie
bj_BaUn	0.014964610245690941	bowtie
bf_BaOv	0.005981632919013171	bowtie
af_BaVu	0.0011496744707266953	bowtie
an_BaXy	0.0035015029017504383	bowtie
bj_BaVu	0.013325395877705825	bowtie
cx_BaCa	0.005661364894729619	bowtie
am_PaDi	0.0066481878438241675	bowtie
bq_BaXy	0.0011573732465819508	bowtie
am_EsCo	0.013417380985539056	bowtie
bj_BaCa	0.005931508023660716	bowtie
bq_BaVu	0.007189097091237687	bowtie
am_StSa	0.0017625123874096408	bowtie
aa_BaOv	0.001581269091299372	bowtie
bk_BaTh	0.0075900597740222965	bowtie
aa_BaXy	0.00468779173357349	bowtie
bq_BaFi	0.005840894389589534	bowtie
cx_BaFa	0.002558133608743163	bowtie
bj_BaXy	0.005297963424423261	bowtie
av_BaOv	0.0009965454484126167	bowtie
bf_BaFa	0.0014153754347883988	bowtie
bq_BaDo	0.010197955116310104	bowtie
bq_BaSa	0.00422120661498927	bowtie
av_BaTh	0.0010626602558920816	bowtie
bk_BaSa	0.005652905692552851	bowtie
bk_BaOv	0.0018143949587046877	bowtie
bk_BaCe	0.0009185358163607013	bowtie
af_BaXy	0.0014042749213139306	bowtie
av_BaVu	0.002461346584047671	bowtie
am_TuSa	0.0010942538136659416	bowtie
am_BaSa	0.0028301614991024016	bowtie
bq_BaOv	0.0015523505564576249	bowtie
am_PaEx	0.0034998454317206194	bowtie
bf_BaVu	0.001252937400662629	bowtie
am_AlOn	0.006523693480264385	bowtie
af_BaTh	0.0011165423742975915	bowtie
ao_BaUn	0.0010000620826777892	bowtie
bf_BaUn	0.006204805775423779	bowtie
am_EnCl	0.00389483656332676	bowtie
bq_BaTh	0.0011648753300782715	bowtie
am_RuTo	0.0004300492235222353	bowtie
am_BaSt	0.005324621132727095	bowtie
ao_BaXy	0.001387774494904204	bowtie
bq_BaUn	0.0011261974872320167	bowtie
aa_BaCe	0.0016786051534612917	bowtie
am_BL	0.00013441397172895484	bowtie
am_EnDu	0.0005419292681947734	bowtie
